ID,NAME,FOLLOWER_COUNT,ANSWER_COUNT,TYPE
32094733,拥有稀有的姓是种怎样的体验？,94097,32697,文化
20406962,你最孤独的时刻是什么？,128893,32575,生活
38501171,有哪些你看过一眼就难以忘怀的句子？,254877,29125,电影
23802668,有哪些让你感叹「写出这种句子的人，我十辈子都追不上了」的句子？,292929,21983,文学
39532486,你遇到过的坏老师可以有多坏？,68923,20107,生活
35720340,哪个瞬间让你突然觉得读书真有用？,271022,18700,生活
23819007,你有什么道理后悔没有早点知道？,464564,18532,生活
31914864,思念到极致是什么感觉？,110253,18492,生活
37206525,有没有一部电影让你在深夜中痛哭？,158618,17907,影视评论
38244425,有哪些让你「心上开出一朵花」的瞬间？,135905,17819,生活
39004511,有哪些年轻人「千万不能碰」的东西？,251405,17315,生活
31784351,哪些文字绝妙到「一句话就是一个故事」？,135166,16289,文学
26441300,比一个人吃火锅更孤独的事有什么？,60088,15848,生活
29364545,有哪些打动人心的常被单曲循环的歌的歌词？,85071,15572,生活
26768751,你遇过哪些概率极小的事？,69564,15036,生活
38708083,活在中国，你感觉这个国家最让人不解的是什么？,143816,14864,生活
20783044,贫穷会让孩子感到自卑吗？,65859,14060,心理学
28866004,你听过最心酸的一句话是什么？,96200,14018,生活
21149829,什么样的朋友是真正的好朋友？,109595,14014,人际交往
37374497,人类都有什么细思极恐的细节？,180607,13097,人性
31637520,丧失了喜欢人的能力是怎样的体验？,116295,12885,生活
20767176,你最尴尬的一次经历是怎样的？,95173,12784,生活
37248069,有哪些令人拍案叫绝的推理桥段？,302024,12608,电影
36539555,有哪些惊艳到你的句子？,205583,12580,文学
20875474,什么是爱？爱一个人是什么感觉？,86171,12504,情感
27346629,好友间的关系是如何变淡的？,125106,12362,生活
36243693,你听过最酷的一句话是哪句？说这句话的人也一样酷么？,110654,12068,生活
20495563,为什么有的人没有恋爱需求？,97122,11997,心理学
39731953,有没有一张图片让你瞬间明白了什么叫「气质」？,140164,11917,生活
36824276,什么样的男生让你觉得 low 到爆？,92239,11905,生活
38181067,哪句台词你永远忘不了？,78810,11854,电影
41799510,你心中一直告诉自己的话是什么？,85121,11854,学习
35586343,你用手机拍过哪些满意的照片？,35008,11687,调查类问题
26613082,减肥成功是什么感觉？给生活带来哪些改变？,173639,11445,健身
30603447,贫穷会对人的身心造成多大的影响？,99956,11379,生活
31997695,恋人之间的最好状态是怎样的？,178566,11333,生活
37496011,你听过的最能引起共鸣的话是什么？,152629,11197,文学
33449950,有哪些你第一眼看到就爱上的句子？,172948,11062,生活
31584701,有哪些细思恐极的短故事？,153086,11050,文学
39501641,被不会撩妹的男人强撩是什么体验？,122187,10969,心理
38485891,有哪些好看到让人浑身颤抖、无法自拔、久久不忘的电影？,234052,10957,艺术
40000616,你听过的最霸气，最有气势的一句诗词是什么？,71627,10833,文学
31318753,你在一座城市做过最孤独的一件事是什么？,40636,10606,调查类问题
20456198,父母有哪些令人难以接受且常见的逻辑或思维模式？,71995,10343,家庭教育
31457081,放下一个很爱的人是什么心情？,47126,9983,恋爱心理
38624160,有哪些没有十年以上网龄就不会知道的事情？,43012,9674,生活
21982235,贫穷有多可怕？,93924,9654,调查类问题
38408540,热米饭里拌什么好吃？,54306,9649,美食
40646841,最让你震惊的一宗杀人案件是什么？,259243,9416,法律
36246233,做客孩子临走时带走几只玩具，我的孩子抗拒并一直哭，要怎么开导？,40044,9345,教育
24269892,现实可以有多美好？,137987,9269,生活
29064753,长大以后，你悟出过哪些不一样的道理？,171250,9022,生活
22913650,人这一生为什么要努力？,163184,8846,人生
30277318,中国真的有很多穷人吗？,108389,8811,教育
19866127,有哪些让你感触很深的陌生人的事？,87430,8798,生活
40245582,有哪些类似「西瓜最中间那一口」的美食？,46161,8666,生活
23684594,得知越来越多的女大学生被包养，已有的价值观开始动摇怎么办？,81456,8527,女性
34493177,有哪些「有它我就能吃两大碗米饭」的菜？,84199,8411,美食
39081910,你做了什么事情让大家笑疯？,106351,8387,生活
26095733,给子女名字没起好会对子女造成多大的伤害？,54954,8341,调查类问题
27463242,你拍过最孤独的照片是哪张？,40004,8160,调查类问题
37018823,装逼成功是种怎样的体验？,121762,8073,生活
20167901,外行对你熟知的领域有哪些误解？,69805,8070,生活
22524624,听过最落寞的一句话或诗句是什么？,53269,8061,调查类问题
23329386,人在什么时候最舒服？,34031,7925,调查类问题
26828496,为什么我书读得越多，越看不起周围的人？,64710,7852,心理学
37093377,穷养的女孩和富养的女孩的区别在哪？,78176,7802,生活
36172373,你们身边真实发生的最可怕的事情是什么？,137021,7641,调查类问题
37904962,你见过哪些令你瞠目结舌的神逻辑？,86849,7619,生活
19689722,最好听的情话是什么？,89562,7559,恋爱
26398755,为什么部分人友善且独来独往？,106637,7552,生活
33110020,有哪些看似精妙实则很蠢的设计？,72402,7389,产品
28094932,人到底可以有多坏？,140322,7222,生活
30877650,「离开」是一种什么样的体验？,56178,7039,生活
28237073,身体上的哪些迹象表明你正在衰老？,61668,7033,健康
23010225,你遇到的最文艺的一句话是什么？,88316,7013,文艺
24389300,生活中有哪些令你怦然心动的时刻？,51630,6956,人生
24636633,恋爱关系中最可笑最心酸的事是什么？,49060,6947,爱情
24210550,你遇过的最温暖的瞬间是什么？,57912,6868,生活
31750592,你们吃过的最好吃的东西是什么？,40643,6775,美食
36033027,真正地放下，是种怎样的体验？,38632,6739,恋爱
22456239,读了很多书，但是都忘掉了，读书的意义在哪里？,78795,6707,学习
39474276,有哪些让你极力想推荐，庆幸读到的好书？,203706,6527,调查类问题
37284137,你见过最丑的设计是什么？,87870,6521,审美
39284255,女孩子究竟是怎么由丑变美的？,137952,6500,时尚
27726057,你最喜欢的故事是什么？,214928,6460,文学
35899680,你们是怎么忍受孤独的？,58833,6397,生活
19652019,最让你心动的一句表白语是什么？,70897,6322,恋爱
40007169,有哪些漂亮的女性剧照或电影截图？,85468,6261,摄影
31141761,什么时候你会觉得群众是愚蠢的？,81581,6235,人际交往
25378124,同一个人，体重 120 斤和 100 斤的世界是完全不同的吗？,136888,6126,健身
28636966,青春里最残酷的是什么事？,44353,6104,青春
38894816,你买的最失败的东西是什么？,90974,6022,生活
29653125,你经历的最让你觉得人心可怕的事是什么？,91267,5989,社会
34643719,你什么时候被狗的智商震惊了？,65491,5975,宠物
21905681,世界上最没用的东西是什么？,47389,5920,生活
22798242,生活中最让你怦然心动的时刻是什么？,44845,5873,恋爱心理
39829502,你有哪些「当时我就懵逼了」的经历？,97569,5821,生活
36390957,亚洲有哪些气质超群的女明星？,53482,5780,电影
39367879,哪些撩妹的骚操作让你久久不能平复？,134461,5694,调查类问题
